"region_depart","province_depart","etat_depart","sousetat_depart","amiraute_depart","port_depart","outdate_fixed","port_destination","partner_balance_1789","partner_balance_supp_1789","pointcall_province","substate_destination","state_destination","ship_id","ship_name","captain_name","homeport_state_1789_fr","homeport_substate_1789_fr","homeport_toponyme_fr","homeport_province","commodity_standardized_fr","commodity_standardized2_fr","commodity_standardized3_fr","commodity_standardized4_fr","taxe_amount01","taxe_amount02","taxe_amount03","tonnage","tonnage_unit","tonnage_class","ship_flag_standardized_fr"
Bretagne,Bretagne,France,,Saint-Malo,Saint-Malo,1787-06-14,Ostende,Etats de l'Empereur,Etranger,,Pays-Bas autrichiens,Autriche,"0003935N",Marie,"Messerie, Noé",Grande-Bretagne,Iles anglo-normandes,Jersey,,Diverses marchandises,Sucre,,,240,72,0,"15",tx,[1-20],britannique
Guyenne,Guyenne,France,,Bordeaux,Bordeaux,1787-02-01,Amsterdam,Hollande,Etranger,,Hollande,Provinces-Unies,"0010450N",Elsibe Maria,"De Jongh, Nanne Jantzen",Provinces-Unies,Hollande,Amsterdam,,Sucre,,,,600,8 760,3 465,"146",tx,[101-200],hollandais
Picardie,Picardie,France,,Boulogne,Boulogne-sur-Mer,1787-05-19,Angleterre,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0000001N",Endeavour,Pool,,,,,,,,,135,450,0,"2",tx,[1-20],britannique
Bretagne,Bretagne,France,,Nantes,Nantes,1787-08-08,Rotterdam,Hollande,Etranger,,Hollande,Provinces-Unies,"0014017N",Demoiselle Maria,"Kalk, Johannes Annes",,,,,,,,,480,144,0,"163",tx,[101-200],hollandais
Flandre,Flandre,France,,Dunkerque,Dunkerque,1787-09-15,Sunderland,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0001160N",Sara,"Wilkinson, Robert",Grande-Bretagne,Angleterre,Sunderland,,,,,,135,450,0,"180",tx,[101-200],britannique
Flandre,Flandre,France,,Dunkerque,Dunkerque,1787-12-22,Angleterre (destination simulée pour),Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0003420N",Friendship,"Philips, Maurice",Grande-Bretagne,Angleterre,Plymouth,,,,,,450,135,0,"12",tx,[1-20],britannique
Picardie,Picardie,France,,Boulogne,Boulogne-sur-Mer,1787-03-25,Angleterre,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0000454N",Clispt,"Corbey, [Thomas]",,,,,,,,,450,135,0,"12",tx,[1-20],britannique
Flandre,Flandre,France,,Dunkerque,Dunkerque,1787-09-11,Flessingue,Hollande,Etranger,,Zélande,Provinces-Unies,"0001230N",Demoiselle Catherine,"Coddevin, Pierre François",France,,Dunkerque,Flandre,Café,,,,450,135,0,"30",tx,[21-50],français
Flandre,Flandre,France,,Dunkerque,Dunkerque,1787-03-27,Angleterre (destination simulée pour),Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0001632N",Bonne Intention,"Hodges, William",Grande-Bretagne,Angleterre,Folkestone,,,,,,135,450,0,"12",tx,[1-20],britannique
Flandre,Flandre,France,,Dunkerque,Dunkerque,1787-03-23,Sunderland,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0001679N",William et Marie,"Story, Guillaume",Grande-Bretagne,Angleterre,Sunderland,,,,,,135,450,0,"150",tx,[101-200],britannique
Guyenne,Guyenne,France,,Bordeaux,Bordeaux,1787-10-02,Amsterdam,Hollande,Etranger,,Hollande,Provinces-Unies,"0010467N",Jouwers Stapes,"Laurents, Jochim",Provinces-Unies,Frise,Lemmer,,Sucre,,,,10 200,4 005,600,"170",tx,[101-200],hollandais
Aunis-Saintonge-Poitou,Aunis,France,,La Rochelle,Ars-en-Ré,1787-01-31,Boston,Etats-Unis,Etranger,,Massachussets,Etats-Unis d'Amérique,"0005895N",Thomas,"Brown, Jean",Etats-Unis d'Amérique,Massachussets,Boston,,Sel,,,,480,0,0,"280",tx,[201-500],étasunien
Provence,Provence,France,,Saint-Tropez,Saint-Tropez,1787-10-06,Gênes,,Etranger,,,République de Gênes,"0005160N",Saint Pierre,"Mistral, Charles Tropez",France,,Saint-Tropez,Provence,Vin,,,,0,0,0,"28",tx,[21-50],français
Picardie,Picardie,France,,Boulogne,Boulogne-sur-Mer,1787-06-09,Rotterdam,Hollande,Etranger,,Hollande,Provinces-Unies,"0000502N",Marguerite,"Lepretre, Jean Baptiste",France,,Boulogne-sur-Mer,Picardie,Futailles vides,,,,135,450,0,"40",tx,[21-50],français
Aunis-Saintonge-Poitou,Poitou,France,,Sables-d’Olonne,Beauvoir-sur-Mer,1787-10-22,Espagne atlantique,Espagne,Etranger,,,Espagne,"0007498N",Aimable Ursule,"Longépée, Charles",France,,île d'Yeu,Poitou,Froment,,,,540,1 800,0,"56",tx,[51-100],français
Picardie,Picardie,France,,Boulogne,Boulogne-sur-Mer,1787-12-21,Angleterre,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0012183N",Lively,Plan,,,,,,,,,450,135,0,"2",tx,[1-20],britannique
Flandre,Flandre,France,,Dunkerque,Dunkerque,1787-07-20,Angleterre (destination simulée pour),Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0001121N",Pinck,"Dyer, John",Grande-Bretagne,Angleterre,Burnham,,,,,,450,135,0,"12",tx,[1-20],britannique
Flandre,Flandre,France,,Dunkerque,Dunkerque,1787-02-07,Angleterre (destination simulée pour),Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0001284N",Aimable Anne,"Wyseman, James",Grande-Bretagne,Angleterre,Burnham,,,,,,135,450,0,"12",tx,[1-20],britannique
Flandre,Flandre,France,,Dunkerque,Dunkerque,1787-05-19,Angleterre (destination simulée pour),Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0001675N",Deux frères,"Holland, William",Grande-Bretagne,Angleterre,Folkestone,,,,,,135,450,0,"12",tx,[1-20],britannique
Guyenne,Guyenne,France,,Bordeaux,Bordeaux,1787-02-17,Lübeck,Quatre villes hanséatiques,Etranger,,,Lubeck,"0009392N",Bonne Compagnie,"Roll, David",Lubeck,,Lübeck,,Diverses marchandises,Seigle,,,3 825,8 400,2 100,"140",tx,[101-200],lubeckois
Isles de Corse,Isles de Corse,France,,Bastia,Bastia,1787-03-30,Naples,,Etranger,,,Royaume de Naples,"0013594N",Unnamed,"Chiaes, Sabato",,,,,,,,,180,120,0,,tx,,napolitain
Guyenne,Guyenne,France,,Bayonne,Bayonne,1787-07-16,Mouros,Espagne,Etranger,,,Espagne,"0002970N",Saint Joseph et Ames,"Orgas, Raimond",Espagne,,Mouros,,Brai,Eau-de-vie,Goudron,,1 920,576,0,"10",tx,[1-20],"Espagne, undeterminé"
Guyenne,Guyenne,France,,Bayonne,Bayonne,1787-09-14,Bilbao,Espagne,Etranger,,,Espagne,"0008868N",Marianne,"De Ageo, Joseph Antoine",,,,,Planches,Eau-de-vie,,,1 920,576,0,"32",tx,[21-50],"Espagne, undeterminé"
Flandre,Flandre,France,,Dunkerque,Dunkerque,1787-03-10,Ostende,Etats de l'Empereur,Etranger,,Pays-Bas autrichiens,Autriche,"0001339N",Saint François,"Coolen, François",France,,Dunkerque,Flandre,Sucre,,,,450,135,0,"18",tx,[1-20],français
Picardie,Picardie,France,,Calais,Calais,1787-03-05,Douvres,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0000888N",Mercure,"Lamy, Antoine",France,,Calais,Picardie,,,,,450,135,0,,,,français
Flandre,Flandre,France,,Dunkerque,Dunkerque,1787-08-18,Angleterre (destination simulée pour),Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0000962N",Guillaume et Marie,"Waller, Vincent",Grande-Bretagne,Angleterre,Maldon,,,,,,450,135,0,"12",tx,[1-20],britannique
Normandie,Normandie,France,,Rouen,Rouen,1787-07-12,Rotterdam,Hollande,Etranger,,Hollande,Provinces-Unies,"0002691N",Jean et Henry,"De Jong, Maat",,,,,,,,,390,117,1 224,"34",tx,[21-50],hollandais
Guyenne,Guyenne,France,,Bayonne,Bayonne,1787-01-02,Bilbao,Espagne,Etranger,,,Espagne,"0008613N",Saint Antoine de Padoue,"Futande, Jean Antoine",Espagne,,Plencia,,Planches,Eau-de-vie,,,576,1 920,0,"20",tx,[1-20],"Espagne, undeterminé"
Flandre,Flandre,France,,Dunkerque,Dunkerque,1787-02-08,Angleterre (destination simulée pour),Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0000007N",Lion,"Bewell, Salomon",Grande-Bretagne,Angleterre,Hasting,,,,,,450,135,0,"12",tx,[1-20],britannique
Normandie,Normandie,France,,Rouen,Rouen,1787-10-09,Liverpool,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0014116N",Pomo,"Mafor, Jean",,,,,,,,,117,390,1 296,"36",tx,[21-50],britannique
Flandre,Flandre,France,,Dunkerque,Dunkerque,1787-01-03,Angleterre (destination simulée pour),Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0000715N",Betzy,"Brookes, Thomas",,,,,,,,,450,135,0,"12",tx,[1-20],britannique
Picardie,Picardie,France,,Calais,Calais,1787-07-16,Douvres,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0004084N",Princesse,"Ratcliff, John",Grande-Bretagne,Angleterre,Douvres,,,,,,450,135,765,"34",tx,[21-50],britannique
Picardie,Picardie,France,,Boulogne,Boulogne-sur-Mer,1787-07-03,Angleterre,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0012165N",May Flower,"Gooden, Samuel",,,,,,,,,135,450,0,"2",tx,[1-20],britannique
Flandre,Flandre,France,,Dunkerque,Dunkerque,1787-10-23,Angleterre (destination simulée pour),Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0012505N",Reine Charlotte,"Walker, George",Grande-Bretagne,Angleterre,Whistable,,,,,,135,450,0,"12",tx,[1-20],britannique
Picardie,Picardie,France,,Boulogne,Boulogne-sur-Mer,1787-01-21,Angleterre,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0000578N",Good Intent,"Philip, George",Grande-Bretagne,Angleterre,Hasting,,,,,,450,135,0,"12",tx,[1-20],britannique
Guyenne,Guyenne,France,,Bordeaux,Bordeaux,1787-09-07,Copenhague ,Danemark,Etranger,,,Danemark,"0008368N",Anne Marie,"Kraft, Even",Danemark,Norvège,Kristiansund ,,Vin,Eau-de-vie,,,10 500,2 625,2 250,"175",tx,[101-200],danois
Guyenne,Guyenne,France,,Bordeaux,Bordeaux,1787-08-30,Randers,Danemark,Etranger,,,Danemark,"0006429N",Trois Freres,"Rasmussen, Thomas",Danemark,,Randers,,Vin,Diverses marchandises,,,2 250,3 540,885,"59",tx,[51-100],danois
Picardie,Picardie,France,,Boulogne,Boulogne-sur-Mer,1787-04-20,Angleterre,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0001573N",Diligence,Millen,Grande-Bretagne,Angleterre,Douvres,,Passagers,,,,135,450,0,"12",tx,[1-20],britannique
Isles de Corse,Isles de Corse,France,,Ajaccio,Ajaccio,1787-02-05,Italie,,Etranger,,,multi-Etat,"0006476N",Conception,"Currega, Antoine",,,,,,,,,2 400,0,0,,,,français
Guyenne,Guyenne,France,,Bayonne,Bayonne,1787-04-04,Saint-Sébastien,Espagne,Etranger,,,Espagne,"0010516N",Persévérance,"Seloul, Willem",Grande-Bretagne,Iles anglo-normandes,Jersey,,Brai,,,,180,600,2 160,"60",tx,[51-100],britannique
Picardie,Picardie,France,,Saint-Valéry-sur-Somme,Saint-Valery-sur-Somme,1787-06-21,Rotterdam,Hollande,Etranger,,Hollande,Provinces-Unies,"0000428N",Deux Soeurs,"Scheffers, Claas",,,,,,,,,450,3 960,135,"110",tx,[101-200],hollandais
Flandre,Flandre,France,,Dunkerque,Dunkerque,1787-12-04,Amsterdam,Hollande,Etranger,,Hollande,Provinces-Unies,"0002343N",Jeanne Magdeleine,"Onner, Eylders",Hambourg,,Hambourg,,,,,,135,450,0,"150",tx,[101-200],hambourgeois
Guyenne,Guyenne,France,,Bayonne,Bayonne,1787-08-25,Bilbao,Espagne,Etranger,,,Espagne,"0007437N",Phoenix,"Barou, Jacques",Grande-Bretagne,Angleterre,Hull,,Lest,,,,6 840,600,180,"130",tx,[101-200],britannique
Bretagne,Bretagne,France,,Brest,Roscoff,1787-11-21,Cadgwith,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0012180N",Espérance,"Soster, Thomas",Grande-Bretagne,Angleterre,Cadgwith,,Eau-de-vie,,,,216,480,0,"6",tx,[1-20],britannique
Picardie,Picardie,France,,Boulogne,Boulogne-sur-Mer,1787-01-25,Angleterre,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0000006N",Endeavour,"Duks, Stephen",,,,,,,,,450,135,0,"12",tx,[1-20],britannique
Picardie,Picardie,France,,Saint-Valéry-sur-Somme,Saint-Valery-sur-Somme,1787-02-19,Barcelone,Espagne,Etranger,,,Espagne,"0000038N",Félicité,"Lefebvre, François Baptiste",France,,Saint-Valery-sur-Somme,Picardie,,,,,6 000,631,2 106,"250",tx,[201-500],français
Bretagne,Bretagne,France,,Lorient,Lorient,1787-05-08,Îles Féroé,Danemark,Etranger,,,Danemark,"0006782N",Invention,"Tupper, Valentin",Grande-Bretagne,Irlande,Cork,,,,,,630,0,0,"50",tx,[21-50],britannique
Flandre,Flandre,France,,Dunkerque,Dunkerque,1787-07-23,Amsterdam,Hollande,Etranger,,Hollande,Provinces-Unies,"0001570N",Comète errante,"Beens, Jean Albert",France,,Dunkerque,Flandre,Blé,,,,450,135,0,"62",tx,[51-100],français
Picardie,Picardie,France,,Boulogne,Boulogne-sur-Mer,1787-02-06,Angleterre,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0000578N",Good Intent,"Philip, George",Grande-Bretagne,Angleterre,Hasting,,,,,,135,450,0,"12",tx,[1-20],britannique
Bretagne,Bretagne,France,,Nantes,Le Croisic,1787-06-16,Irlande,Angleterre,Etranger,,Irlande,Grande-Bretagne,"0011428N",Jeanne Marie,"Fruluer, Jorg",,,,,Sel,,,,144,480,0,"41",tx,[21-50],britannique
Guyenne,Guyenne,France,,Bordeaux,Bordeaux,1787-04-23,Hambourg,Quatre villes hanséatiques,Etranger,,,Hambourg,"0007660N",Cerés,"Taakes, Jacob",Hambourg,,Hambourg,,Vin,Sucre,,,600,23 160,5 790,"386",tx,[201-500],hambourgeois
Picardie,Picardie,France,,Calais,Calais,1787-02-24,Rotterdam,Hollande,Etranger,,Hollande,Provinces-Unies,"0001027N",Dame Marie,"Parlevliet, Jacob",Provinces-Unies,Hollande,Rotterdam,,,,,,450,135,540,"24",tx,[21-50],hollandais
Picardie,Picardie,France,,Boulogne,Boulogne-sur-Mer,1787-05-30,Angleterre,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0000732N",Endeavour,William,,,,,,,,,135,450,0,"2",tx,[1-20],britannique
Flandre,Flandre,France,,Dunkerque,Dunkerque,1787-08-28,Angleterre (destination simulée pour),Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0001141N",Providence,"Parish, Stephen",,,,,,,,,450,135,0,"12",tx,[1-20],britannique
Normandie,Normandie,France,,Port-Bail,Port-Bail,1787-06-04,Jersey,Angleterre,Etranger,,Iles anglo-normandes,Grande-Bretagne,"0001494N",Dauphin,"Le Süeur, Henri",,,,,Lest,,,,390,117,72,"2",tx,[1-20],britannique
Picardie,Picardie,France,,Calais,Calais,1787-08-12,Deal,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0000496N",Bonne Intention,"Sneller, John",Grande-Bretagne,Angleterre,Deal,,,,,,450,150,135,"2",tx,[1-20],britannique
Normandie,Normandie,France,,Le Havre,Le Havre,1787-06-16,Southampton,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0006330N",Johanna,"Wecks, John",,,,,,,,,117,390,0,"38",tx,[21-50],britannique
Picardie,Picardie,France,,Boulogne,Boulogne-sur-Mer,1787-03-18,Angleterre,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0002324N",Traveller,"Peleet, David",Grande-Bretagne,Angleterre,Folkestone,,,,,,135,450,0,"2",tx,[1-20],britannique
Picardie,Picardie,France,,Boulogne,Boulogne-sur-Mer,1787-01-06,Angleterre,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0000828N",Good Intent,Nash,Grande-Bretagne,Angleterre,Rye,,,,,,450,135,0,"12",tx,[1-20],britannique
Bretagne,Bretagne,France,,Nantes,Nantes,1787-07-11,Dordrecht ,Hollande,Etranger,,Hollande,Provinces-Unies,"0012131N",Dame Gertrude,"Priens, Horme Luppe",,,,,,,,,480,144,0,"162",tx,[101-200],hollandais
Bretagne,Bretagne,France,,Saint-Malo,Saint-Malo,1787-04-11,"Terre-Neuve, île de",Angleterre,Etranger,,colonies britanniques d'Amérique,Grande-Bretagne,"0006893N",Ville de Saint Malo,"Ruault de la Motte, Guy Pierre",France,,Saint-Malo,Bretagne,Vivres,Sel,Ustensiles de pêche,Pêche à la morue,540,1 800,0,"350",tx,[201-500],français
Normandie,Normandie,France,,Rouen,Rouen,1787-06-13,Stockholm,Suède,Etranger,,,Suède,"0007576N",Jeanne,"Anderson, Boye",,,,,,,,,3 744,1 123,1 830,"104",tx,[101-200],suédois
Normandie,Normandie,France,,Le Havre,Le Havre,1787-12-06,Southampton,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0006733N",Herald,"Plowman, Georges",,,,,,,,,117,390,0,"75",tx,[51-100],britannique
Flandre,Flandre,France,,Dunkerque,Dunkerque,1787-08-11,Angleterre (destination simulée pour),Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0000603N",Neptune,"Richmont, Samuel",Grande-Bretagne,Angleterre,Burnham,,,,,,450,135,0,"12",tx,[1-20],britannique
Flandre,Flandre,France,,Dunkerque,Dunkerque,1787-07-11,Angleterre (destination simulée pour),Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0004053N",Demoiselle,"Bishop, Samuel",Grande-Bretagne,Angleterre,Greenwich,,,,,,450,135,0,"12",tx,[1-20],britannique
Picardie,Picardie,France,,Boulogne,Boulogne-sur-Mer,1787-05-07,Angleterre,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0001431N",Succes,Smith,,,,,,,,,450,135,0,"2",tx,[1-20],britannique
Bretagne,Bretagne,France,,Lorient,Lorient,1787-05-02,Îles Féroé,Danemark,Etranger,,,Danemark,"0000673N",Sprightly,"Grumly, Joseph",Grande-Bretagne,Irlande,Dublin,,,,,,630,0,0,"40",tx,[21-50],britannique
Flandre,Flandre,France,,Dunkerque,Dunkerque,1787-03-09,Angleterre (destination simulée pour),Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0000116N",Speedwell,"Robertson, William",Grande-Bretagne,Angleterre,Burnham,,,,,,135,450,0,"12",tx,[1-20],britannique
Picardie,Picardie,France,,Boulogne,Boulogne-sur-Mer,1787-06-12,Angleterre,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0001989N",Good Hope,"Haveton, Daniel",,,,,,,,,135,450,0,"2",tx,[1-20],britannique
Picardie,Picardie,France,,Calais,Calais,1787-05-11,Douvres,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0002143N",Liberty,"Amon, Thomas",Grande-Bretagne,Angleterre,Douvres,,,,,,900,135,270,"12",tx,[1-20],britannique
Guyenne,Guyenne,France,,Bordeaux,Bordeaux,1787-09-15,Dublin,Angleterre,Etranger,,Irlande,Grande-Bretagne,"0007085N",Larck,"Sinnott, James",Grande-Bretagne,Irlande,Dublin,,Vin,Eau-de-vie,,,1 830,600,2 925,"122",tx,[101-200],britannique
Bretagne,Bretagne,France,,Brest,Brest,1787-05-26,Alicante,Espagne,Etranger,,,Espagne,"0008033N",Liberté,"Westermark, Eric",Suède,,Uddevalla,,Lest,,,,480,5 040,0,"140",tx,[101-200],suédois
Normandie,Normandie,France,,Dieppe,Dieppe,1787-06-09,Barcelone,Espagne,Etranger,,,Espagne,"0003280N",Eau,"Hebert, François Charles",France,,Dieppe,Normandie,,,,,549,1 830,0,"80",tx,[51-100],français
Picardie,Picardie,France,,Boulogne,Boulogne-sur-Mer,1787-01-23,Angleterre,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0001431N",Succes,"Adam, Bob",,,,,,,,,450,135,0,"2",tx,[1-20],britannique
Picardie,Picardie,France,,Boulogne,Boulogne-sur-Mer,1787-02-20,Angleterre,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0012183N",Lively,Doben,,,,,,,,,450,135,0,"2",tx,[1-20],britannique
Bretagne,Bretagne,France,,Nantes,Nantes,1787-12-10,Bilbao,Espagne,Etranger,,,Espagne,"0012530N",Esperance,"Oleguibel, Simon",Espagne,,Bilbao,,,,,,1 800,540,0,"60",tx,[51-100],"Espagne, undeterminé"
Picardie,Picardie,France,,Calais,Calais,1787-09-12,Douvres,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0000795N",Hardwick,"Clarck, Edward",Grande-Bretagne,Angleterre,Douvres,,,,,,135,2 400,720,"32",tx,[21-50],britannique
Picardie,Picardie,France,,Boulogne,Boulogne-sur-Mer,1787-03-27,Angleterre,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0002324N",Traveller,Warman,Grande-Bretagne,Angleterre,Folkestone,,,,,,135,450,0,"2",tx,[1-20],britannique
Guyenne,Guyenne,France,,Bayonne,Bayonne,1787-12-04,Deva,Espagne,Etranger,,,Espagne,"0008545N",Jeannette,"Hayet, Jean",France,,Bayonne,Guyenne,Morue,,,,144,480,0,"24",tx,[21-50],français
Picardie,Picardie,France,,Calais,Calais,1787-03-13,Douvres,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0001251N",Bonne Intention,Middleton,Grande-Bretagne,Angleterre,Douvres,,,,,,450,150,135,"2",tx,[1-20],britannique
Picardie,Picardie,France,,Calais,Calais,1787-10-02,Douvres,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0000344N",Cumberland,"Oakley, William",Grande-Bretagne,Angleterre,Douvres,,,,,,2 250,135,675,"30",tx,[21-50],britannique
Flandre,Flandre,France,,Dunkerque,Dunkerque,1787-06-02,Ostende,Etats de l'Empereur,Etranger,,Pays-Bas autrichiens,Autriche,"0002123N",Liberté,"Sundgreen, Karl",Suède,,Stockholm,,,,,,135,450,0,"150",tx,[101-200],suédois
Flandre,Flandre,France,,Dunkerque,Dunkerque,1787-02-03,Londres,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0001441N",Prince d' Orange,"Meldick, John",Grande-Bretagne,Angleterre,Londres,,Eau-de-vie,Diverses marchandises,,,135,450,0,"60",tx,[51-100],britannique
Guyenne,Guyenne,France,,Bordeaux,Bordeaux,1787-09-26,Santander,Espagne,Etranger,,,Espagne,"0006881N",Providence,"Devriarte, Michel",Espagne,,Plencia,,Farine,,,,1 800,1 710,3 900,"65",tx,[51-100],"Espagne, undeterminé"
Picardie,Picardie,France,,Calais,Calais,1787-10-07,Königsberg / Kaliningrad,Prusse,Etranger,,,Prusse,"0000378N",Quatre Sœurs,"Namink, Hendrick",Prusse,,Königsberg / Kaliningrad,,,,,,5 175,135,17 250,"230",tx,[201-500],prussien
Aunis-Saintonge-Poitou,Aunis,France,,La Rochelle,Ars-en-Ré,1787-06-12,Riga,Russie,Etranger,,,Russie,"0006546N",Dhur Wierd Wiarde,"Classen, Yelle",,,,,Sel,,,,480,0,0,"250",tx,[201-500],hollandais
Picardie,Picardie,France,,Boulogne,Boulogne-sur-Mer,1787-01-05,Angleterre,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0001574N",Short Boat,"Miller, Thomas",,,,,,,,,135,450,0,"2",tx,[1-20],britannique
Picardie,Picardie,France,,Boulogne,Boulogne-sur-Mer,1787-08-18,Angleterre,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0000348N",Polly,"May, James",Grande-Bretagne,Angleterre,Faversham,,,,,,135,450,0,"2",tx,[1-20],britannique
Flandre,Flandre,France,,Dunkerque,Dunkerque,1787-12-14,Angleterre (destination simulée pour),Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0000945N",Tartare,"Duke, Stephen",Grande-Bretagne,Angleterre,Hasting,,,,,,450,135,0,"12",tx,[1-20],britannique
Guyenne,Guyenne,France,,Bordeaux,Bordeaux,1787-12-13,Indes orientales,,Etranger,,,multi-Etat,"0014046N",Lambert,"Langlois, Simon",France,,Lorient,Bretagne,,,,,4 320,14 400,0,"334",tx,[201-500],français
Picardie,Picardie,France,,Boulogne,Boulogne-sur-Mer,1787-04-09,Angleterre,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0000779N",Ranger,"Guilbert, John",,,,,,,,,135,450,0,"2",tx,[1-20],britannique
Guyenne,Guyenne,France,,Bordeaux,Bordeaux,1787-05-01,Brême,Quatre villes hanséatiques,Etranger,,,Brême,"0007174N",Elisabeth Rebeca,"Bellmer, Hinzich",Brême,,Brême,,Vin,,,,2 250,9 000,2 250,"150",tx,[101-200],brémois
Bretagne,Bretagne,France,,Nantes,Nantes,1787-09-27,Rotterdam,Hollande,Etranger,,Hollande,Provinces-Unies,"0011361N",Saint Antoine,"Hroolman, Aldrich",,,,,,,,,144,480,0,"96",tx,[51-100],papenbourgeois
Normandie,Normandie,France,,Fécamp,Fécamp,1787-08-15,Frederikshald / Halden,Danemark,Etranger,,Norvège,Danemark,"0003919N",Emanuel,"Petersen, Gullick",,,,,,,,,1 830,993,549,"92",tx,[51-100],danois
Bretagne,Bretagne,France,,Nantes,Nantes,1787-01-17,Rotterdam,Hollande,Etranger,,Hollande,Provinces-Unies,"0009771N",Bonne Esperance,"De Lange, Pieter",Provinces-Unies,Hollande,Rotterdam,,,,,,480,144,0,"80",tx,[51-100],hollandais
Normandie,Normandie,France,,Le Havre,Le Havre,1787-08-21,Kristianstad ,Suède,Etranger,,,Suède,"0010346N",Restitution,"Stocke, Sore",,,,,,,,,549,1 830,0,"140",tx,[101-200],
Picardie,Picardie,France,,Calais,Calais,1787-11-30,Douvres,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0004084N",Princesse,"Ratcliff, John",Grande-Bretagne,Angleterre,Douvres,,,,,,450,135,765,"34",tx,[21-50],britannique
Flandre,Flandre,France,,Dunkerque,Dunkerque,1787-06-16,Angleterre (destination simulée pour),Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0001675N",Deux Frères,"Hall, Jean",Grande-Bretagne,Angleterre,Folkestone,,,,,,450,135,0,"12",tx,[1-20],britannique
Flandre,Flandre,France,,Dunkerque,Dunkerque,1787-09-28,Angleterre (destination simulée pour),Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0000783N",Dolly,"Harnell, Richard",Grande-Bretagne,Angleterre,Douvres,,,,,,135,450,0,"12",tx,[1-20],britannique
Flandre,Flandre,France,,Dunkerque,Dunkerque,1787-04-27,Ostende,Etats de l'Empereur,Etranger,,Pays-Bas autrichiens,Autriche,"0001779N",Prospérité d' Ostende,"Degraf, Roclof Janssen",France,,Dunkerque,Flandre,Seigle,,,,450,135,0,"40",tx,[21-50],français
Picardie,Picardie,France,,Calais,Calais,1787-12-20,Douvres,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0006779N",Union,"Sutton, David",Grande-Bretagne,Angleterre,Douvres,,,,,,135,2 250,675,"30",tx,[21-50],britannique
Provence,Provence,France,,Martigues,Martigues,1787-11-08,Gênes,,Etranger,,,République de Gênes,"0015713N",Vierge du Rosaire,"Joyaux, Jacques",République de Gênes,,Gênes,,Vin,,,,0,0,0,,,,génois
Picardie,Picardie,France,,Calais,Calais,1787-02-11,Deal,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0001805N",Courier,"Cunningham, John",Grande-Bretagne,Angleterre,Deal,,,,,,135,150,45,"2",tx,[1-20],britannique
