"region_depart","amiraute_depart","port_depart","outdate_fixed","port_destination","partner_balance_1789","partner_balance_supp_1789","ship_id","ship_name","captain_name","homeport_state_1789_fr","homeport_substate_1789_fr","homeport_toponyme_fr","homeport_province","commodity_standardized_fr","commodity_standardized2_fr","commodity_standardized3_fr","commodity_standardized4_fr","taxe_amount01","taxe_amount02","taxe_amount03","tonnage","tonnage_unit","tonnage_class"
Picardie,Calais,Calais,1787-07-30,Rochester,Angleterre,Etranger,"0002126N",Thomas,"Richard, William",Grande-Bretagne,Angleterre,Rochester,,,,,,300,135,90,"4",tx,[1-20]
Flandre,Dunkerque,Dunkerque,1787-05-15,Angleterre (destination simulée pour),Angleterre,Etranger,"0001854N",Swift,"Richards, Jean",Grande-Bretagne,Angleterre,Douvres,,,,,,135,450,0,"12",tx,[1-20]
Bretagne,Brest,Landerneau,1787-04-11,Bilbao,Espagne,Etranger,"0007042N",Zéphir,"La Provortie, Joseph",France,,Landerneau,Bretagne,,,,,1 800,0,0,"35",tx,[21-50]
Picardie,Calais,Calais,1787-03-27,Douvres,Angleterre,Etranger,"0000888N",Mercure,"Lamy, Antoine",France,,Calais,Picardie,,,,,450,135,0,,,
Normandie,Le Havre,Le Havre,1787-06-27,Stockholm,Suède,Etranger,"0013576N",Hazar,"Chapelman, Charles",,,,,,,,,549,1 830,0,"136",tx,[101-200]
Picardie,Calais,Calais,1787-10-13,Douvres,Angleterre,Etranger,"0001209N",Diligent,"Berthe, Dominique",France,,Calais,Picardie,,,,,450,135,0,,,
Isles de Corse,Bastia,Bastia,1787-03-16,Capraia,,Etranger,"0016345N",Unnamed,"Olivieri, Jean",,,,,,,,,120,540,0,,tx,
Flandre,Dunkerque,Dunkerque,1787-06-23,Londres,Angleterre,Etranger,"0001441N",Prince d' Orange,"Mellick, John",Grande-Bretagne,Angleterre,Londres,,Eau-de-vie,Diverses marchandises,Diverses marchandises,Diverses marchandises,450,135,0,"60",tx,[51-100]
Flandre,Dunkerque,Dunkerque,1787-01-24,Sunderland,Angleterre,Etranger,"0001580N",Société,"Nefs, John",Grande-Bretagne,Angleterre,Sunderland,,,,,,135,450,0,"150",tx,[101-200]
Normandie,Dieppe,Dieppe,1787-06-19,Brighton,Angleterre,Etranger,"0000444N",Speedwell,"Lynd, Charles",,,,,,,,,390,117,0,"12",tx,[1-20]
Picardie,Calais,Calais,1787-12-16,Deal,Angleterre,Etranger,"0000496N",Bonne Intention,"Karish, John",Grande-Bretagne,Angleterre,Deal,,,,,,450,45,135,"2",tx,[1-20]
Normandie,Rouen,Rouen,1787-07-06,Londres,Angleterre,Etranger,"0009821N",Actif,"Her, Crowe",,,,,,,,,604,2 016,390,"56",tx,[51-100]
Bretagne,Nantes,Le Pouliguen,1787-06-09,Christiania / Oslo,Danemark,Etranger,"0009597N",Linertam Borchielrer,"Back, André",Danemark,Norvège,Christiania / Oslo,,Sel,,,,480,144,0,"170",tx,[101-200]
Bretagne,Nantes,Nantes,1787-01-10,Amsterdam,Hollande,Etranger,"0003721N",Jeune Wilhelmina,"Rioloft, Teunis",Provinces-Unies,Hollande,Amsterdam,,,,,,144,480,0,"80",tx,[51-100]
Canada,Saint-Pierre-et-Miquelon,Saint-Pierre-et-Miquelon,1787-05-29,Kennebec,Etats-Unis,Etranger,"0000582N",Friendship,"Howland, Arthur",,,,,,,,,1 800,0,0,"60",tx,[51-100]
Picardie,Boulogne,Boulogne-sur-Mer,1787-06-04,Angleterre,Angleterre,Etranger,"0001431N",Succes,Flycher,,,,,,,,,450,135,0,"2",tx,[1-20]
Flandre,Dunkerque,Dunkerque,1787-06-30,Angleterre (destination simulée pour),Angleterre,Etranger,"0000828N",Bonne Intention,"Nash, Elie",Grande-Bretagne,Angleterre,Rye,,,,,,135,450,0,"12",tx,[1-20]
Picardie,Boulogne,Boulogne-sur-Mer,1787-07-01,Angleterre,Angleterre,Etranger,"0001304N",Mary,Bowlt,Grande-Bretagne,Angleterre,Folkestone,,,,,,135,450,0,"2",tx,[1-20]
Languedoc,Sète,Sète,1787-11-19,Monaco,,Etranger,"0015848N",Vierge du Rosaire,"Masso, Jean",Monaco,,Monaco,,Vin,Passagers,Passagers,Passagers,0,0,0,,,
Bretagne,Nantes,Nantes,1787-02-05,Bruges,Etats de l'Empereur,Etranger,"0009002N",Dame Ange et Elise,"Stillen, Moudest Jansen",Provinces-Unies,Hollande,Amsterdam,,,,,,480,144,0,"112",tx,[101-200]
Picardie,Boulogne,Boulogne-sur-Mer,1787-12-27,Angleterre,Angleterre,Etranger,"0000729N",Liberty,Rubie,,,,,,,,,135,450,0,"2",tx,[1-20]
Guyenne,Bayonne,Bayonne,1787-08-02,Mouros,Espagne,Etranger,"0008516N",Hermosa Pernana,"Novo, Faustino",Espagne,,Mouros,,Brai,,,,1 920,576,0,"8",tx,[1-20]
Bretagne,Nantes,Nantes,1787-11-28,Côte d'Angole,Portugal,Etranger,"0009340N",Petit Mathurin,"Abautret, Jean",France,,Nantes,Bretagne,,,,,1 800,540,0,"170",tx,[101-200]
Picardie,Boulogne,Boulogne-sur-Mer,1787-11-29,Angleterre,Angleterre,Etranger,"0000952N",Fame,Pan,Grande-Bretagne,Angleterre,Hasting,,,,,,135,450,0,"2",tx,[1-20]
Normandie,Cherbourg,Cherbourg,1787-09-07,Amsterdam,Hollande,Etranger,"0002238N",Louis Alexandre,"Fallapin, Jean Baptiste Nicolas",France,,Fécamp,Normandie,Café,,,,390,117,0,"30",tx,[21-50]
Picardie,Calais,Calais,1787-07-29,Douvres,Angleterre,Etranger,"0000460N",Princesse,"Keys, Will",Grande-Bretagne,Angleterre,Douvres,,,,,,450,135,2 250,"30",tx,[21-50]
Picardie,Calais,Calais,1787-06-10,Douvres,Angleterre,Etranger,"0000829N",Roy George,"Bagster, George",Grande-Bretagne,Angleterre,Douvres,,,,,,450,135,2 400,"32",tx,[21-50]
Picardie,Boulogne,Boulogne-sur-Mer,1787-01-17,Angleterre,Angleterre,Etranger,"0001304N",Mary,Alley,Grande-Bretagne,Angleterre,Folkestone,,,,,,450,135,0,"2",tx,[1-20]
Picardie,Calais,Calais,1787-10-01,Douvres,Angleterre,Etranger,"0001209N",Diligent,"Berthe, Dominique",France,,Calais,Picardie,,,,,135,450,0,,,
Normandie,Dieppe,Dieppe,1787-04-21,Frederikshald / Halden,Danemark,Etranger,"0000954N",Espérance,"Olsen, Torbiorn",,,,,,,,,1 830,549,0,"85",tx,[51-100]
Normandie,Le Havre,Le Havre,1787-06-19,Newcastle,Angleterre,Etranger,"0007804N",Prosperons,"Row, François",,,,,,,,,390,117,0,"257",tx,[201-500]
Picardie,Boulogne,Boulogne-sur-Mer,1787-06-01,Angleterre,Angleterre,Etranger,"0001973N",Fortune,Bakest,,,,,,,,,135,450,0,"2",tx,[1-20]
Normandie,Granville,Granville,1787-04-07,Petit Nord de Terre-Neuve,Angleterre,Etranger,"0003527N",Ami,"Boschet, Louis F.",,,,,Pêche à la morue,Ustensiles de pêche,Ustensiles de pêche,Ustensiles de pêche,1 830,0,0,"130",tx,[101-200]
Flandre,Dunkerque,Dunkerque,1787-04-04,Angleterre (destination simulée pour),Angleterre,Etranger,"0000484N",Trois Frères,"Walls, William",Grande-Bretagne,Angleterre,Harwich,,,,,,450,135,0,"12",tx,[1-20]
Guyenne,Bordeaux,Bordeaux,1787-11-05,Hambourg,Quatre villes hanséatiques,Etranger,"0007823N",Dame Antoinette,"Wiepert, Jurgen",Hambourg,,Hambourg,,Vin,Sucre,Sucre,Sucre,7 785,5 070,20 280,"338",tx,[201-500]
Picardie,Boulogne,Boulogne-sur-Mer,1787-09-07,Angleterre,Angleterre,Etranger,"0012183N",Lively,Plan,,,,,,,,,450,135,0,"2",tx,[1-20]
Picardie,Boulogne,Boulogne-sur-Mer,1787-04-07,Hollande,Hollande,Etranger,"0001586N",Jeune Wilhelmine,"Owehoud, Klaas",Provinces-Unies,Hollande,Rotterdam,,Lest,,,,135,450,0,"30",tx,[21-50]
Picardie,Boulogne,Boulogne-sur-Mer,1787-04-15,Angleterre,Angleterre,Etranger,"0000614N",Prince of Wales,Kerwin,,,,,Passagers,,,,450,135,0,"30",tx,[21-50]
Picardie,Boulogne,Boulogne-sur-Mer,1787-02-20,Angleterre,Angleterre,Etranger,"0001298N",Pleasure,Fowler,,,,,,,,,135,450,0,"2",tx,[1-20]
Picardie,Calais,Calais,1787-03-21,Douvres,Angleterre,Etranger,"0001251N",Bonne Intention,"Mous, John",Grande-Bretagne,Angleterre,Douvres,,,,,,450,150,135,"2",tx,[1-20]
Aunis-Saintonge-Poitou,Marennes,Marennes,1789-08-08,Rotterdam,Hollande,Etranger,,Dame Alida,"Zwart, Take Roclooff",Provinces-Unies,Groningue,Groningue,,Sel,,,,480,0,0,"134",tx,[101-200]
Isles de Corse,Ajaccio,Ajaccio,1787-11-19,Italie,,Etranger,"0013811N",Vierge de Loretto,"Flori, Ignace",,,,,,,,,600,0,0,,,
Guyenne,Bordeaux,Bordeaux,1787-06-01,Dantzig ,Quatre villes hanséatiques,Etranger,"0016262N",Engel Magdalena,"Woss, Claus",Mecklenbourg,,Ribnitz,,Café,Vin,Vin,Vin,2 580,4 545,10 320,"172",tx,[101-200]
Guyenne,Bordeaux,Bordeaux,1787-09-06,Brême,Quatre villes hanséatiques,Etranger,"0000851N",Lady Thadea,"Muller, Johan",Brême,,Brême,,Vin,Café,Café,Café,2 940,5 085,11 760,"196",tx,[101-200]
Picardie,Boulogne,Boulogne-sur-Mer,1787-03-25,Angleterre,Angleterre,Etranger,"0007200N",Succes,Taylor,,,,,,,,,135,450,0,"2",tx,[1-20]
Bretagne,Nantes,Nantes,1787-07-26,Amsterdam,Hollande,Etranger,"0003782N",Constentin,"Nicolas [?], Barend",,,,,,,,,480,144,0,"109",tx,[101-200]
Flandre,Dunkerque,Dunkerque,1787-03-29,Islande,,Etranger,"0002923N",Marie,"Gimbergh, Jean",France,,Dunkerque,Flandre,Pêche à la morue,Sel,Sel,Sel,2 250,675,0,"45",tx,[21-50]
Isles de Corse,Bastia,Bastia,1787-05-10,Mer Mediterranée,,Etranger,"0014382N",Saint Joseph,"Valzi, Pierre Jean",,,,,,,,,2 400,0,0,,,
Flandre,Dunkerque,Dunkerque,1787-08-31,Angleterre (destination simulée pour),Angleterre,Etranger,"0001722N",Jean,"Empty, Humphrey",Grande-Bretagne,Angleterre,Margate,,,,,,450,135,0,"12",tx,[1-20]
Picardie,Boulogne,Boulogne-sur-Mer,1787-05-04,Angleterre,Angleterre,Etranger,"0003656N",Worck,Fanny,,,,,,,,,450,135,0,"2",tx,[1-20]
Guyenne,Bordeaux,Bordeaux,1787-07-19,Königsberg / Kaliningrad,Prusse,Etranger,"0010418N",Bon Messager,"Hoffmeister, Joachim",,,,,Diverses marchandises,Vin,Vin,Vin,2 295,1 086,2 250,"72",tx,[51-100]
Flandre,Dunkerque,Dunkerque,1787-12-22,Angleterre (destination simulée pour),Angleterre,Etranger,"0003420N",Friendship,"Philips, Maurice",Grande-Bretagne,Angleterre,Plymouth,,,,,,450,135,0,"12",tx,[1-20]
Normandie,Le Havre,Le Havre,1787-08-17,Bruges,Etats de l'Empereur,Etranger,"0013929N",De Jong Johannes,"Gynter, Fabian",,,,,,,,,117,390,0,"104",tx,[101-200]
Flandre,Dunkerque,Dunkerque,1787-01-09,Londres,Angleterre,Etranger,"0003524N",Jeanne,"Gibson, George",Grande-Bretagne,Angleterre,Londres,,,,,,450,135,0,"130",tx,[101-200]
Picardie,Boulogne,Boulogne-sur-Mer,1787-11-14,Angleterre,Angleterre,Etranger,"0000517N",Wilkes,"Boucher, George",Grande-Bretagne,Angleterre,Chatham ,,,,,,135,450,0,"2",tx,[1-20]
Guyenne,Bordeaux,Bordeaux,1787-04-13,Copenhague ,Danemark,Etranger,"0012794N",Providence,"Blanck, Michael",,,,,Eau-de-vie,Vin,Vin,Vin,5 172,12 000,3 000,"200",tx,[101-200]
Aunis-Saintonge-Poitou,Marennes,Marennes,1789-04-02,Amsterdam,Hollande,Etranger,,Poisson Dor,"Wisser, Aime Andrys",Provinces-Unies,Hollande,Amsterdam,,Sel,,,,480,0,0,"210",tx,[201-500]
Picardie,Boulogne,Boulogne-sur-Mer,1787-03-08,Hollande,Hollande,Etranger,"0002652N",Jeune Leendert,"Vanderwill, Ary",Provinces-Unies,Hollande,Noordwijk ,,Lest,,,,135,450,0,"12",tx,[1-20]
Bretagne,Saint-Malo,Saint-Malo,1787-03-19,Ingrenachois,Angleterre,Etranger,"0008212N",Jeune Emilie,"Duroutoir, Jean",France,,Saint-Malo,Bretagne,Pêche à la morue,Sel,Sel,Sel,540,1 800,0,"60",tx,[51-100]
Flandre,Dunkerque,Dunkerque,1787-04-02,Angleterre (destination simulée pour),Angleterre,Etranger,"0000858N",Bonne Intention,"Randel, Richard",Grande-Bretagne,Angleterre,Faversham,,,,,,135,450,0,"12",tx,[1-20]
Picardie,Boulogne,Boulogne-sur-Mer,1787-02-24,Angleterre,Angleterre,Etranger,"0001431N",Succes,Calleen,,,,,,,,,450,135,0,"2",tx,[1-20]
Picardie,Boulogne,Boulogne-sur-Mer,1787-01-20,Angleterre,Angleterre,Etranger,"0000664N",William & Mary,Gray,,,,,,,,,450,135,0,"2",tx,[1-20]
Normandie,Le Havre,Le Havre,1787-09-20,Gèfle ,Suède,Etranger,"0000306N",Venus,"Engeman, Olof",,,,,,,,,1 830,549,0,"140",tx,[101-200]
Normandie,Rouen,Rouen,1787-01-16,Cadix,Espagne,Etranger,"0006403N",Victoire,"Augé, Jean Baptiste François",,,,,,,,,117,390,0,"130",tx,[101-200]
Flandre,Dunkerque,Dunkerque,1787-11-19,Angleterre (destination simulée pour),Angleterre,Etranger,"0000358N",Effort,"Arthur, Daniel",Grande-Bretagne,Angleterre,Hythe,,Diverses marchandises,,,,450,135,0,"12",tx,[1-20]
Guyenne,Bordeaux,Bordeaux,1787-06-21,Christiania / Oslo,Danemark,Etranger,"0010420N",Amiral Tordenscholt,"Koch, Johan",Danemark,Norvège,Christiania / Oslo,,Eau-de-vie,Vin,Vin,Vin,2 250,3 714,2 025,"135",tx,[101-200]
Aunis-Saintonge-Poitou,Marennes,Mortagne,1789-05-13,Newton,Angleterre,Etranger,,Comtesse de Gallonay,"Carlie, André",Grande-Bretagne,Ecosse,Newton,,Vin,Eau-de-vie,Eau-de-vie,Eau-de-vie,3 780,480,0,"45",tx,[21-50]
Aunis-Saintonge-Poitou,Sables-d’Olonne,Les Sables-d'Olonne,1789-02-20,Grands Bancs de Terre-Neuve,,Etranger,,Jeune Dragon,"Téssier, François",France,,Les Sables-d'Olonne,Poitou,Sel,Vivres,Vivres,Vivres,1 800,0,0,"100",tx,[51-100]
Picardie,Calais,Calais,1787-09-15,Douvres,Angleterre,Etranger,"0002143N",Liberté,"Amond, Thomas",Grande-Bretagne,Angleterre,Douvres,,,,,,450,900,135,"12",tx,[1-20]
Aunis-Saintonge-Poitou,La Rochelle,Saint-Martin-de-Ré,1789-09-10,Stavanger,Danemark,Etranger,,Deux Frères,"Faue, Jacob",Danemark,Norvège,Stavanger,,Sel,,,,480,0,0,"70",tx,[51-100]
Bretagne,Brest,Roscoff,1787-11-21,Cadgwith,Angleterre,Etranger,"0012180N",Espérance,"Soster, Thomas",Grande-Bretagne,Angleterre,Cadgwith,,Eau-de-vie,,,,216,480,0,"6",tx,[1-20]
Flandre,Dunkerque,Dunkerque,1787-09-25,Elseneur ,Danemark,Etranger,"0003920N",Emanuel,"Borgessen, Berendt",,,,,,,,,675,2 250,0,"83",tx,[51-100]
Normandie,Le Havre,Le Havre,1787-08-18,Southampton,Angleterre,Etranger,"0006330N",Johanna,"Wecks, John",,,,,,,,,390,117,0,"38",tx,[21-50]
Flandre,Dunkerque,Dunkerque,1787-09-07,Angleterre (destination simulée pour),Angleterre,Etranger,"0001632N",Bonne Intention,"Rolfe, William",Grande-Bretagne,Angleterre,Folkestone,,,,,,135,450,0,"12",tx,[1-20]
Aunis-Saintonge-Poitou,Marennes,Marennes,1789-07-31,Lübeck,Quatre villes hanséatiques,Etranger,,Ange Madelaine,"Voss, Claas",Duché de Mecklenbourg,,Rostock,,Vin,Eau-de-vie,Eau-de-vie,Eau-de-vie,1 800,0,0,"173",tx,[101-200]
Flandre,Dunkerque,Dunkerque,1787-10-10,Gothembourg ,Suède,Etranger,"0000020N",Saint Jacob,"Rose, Swen",Suède,,Gothembourg ,,,,,,135,450,0,"74",tx,[51-100]
Guyenne,Bayonne,Bayonne,1787-01-18,Saint-Sébastien,Espagne,Etranger,"0010868N",Sainte Thérèse,"Ditturart, Sanbat",France,,Saint-Jean-de-Luz ,Guyenne,Morue,,,,144,480,0,"28",tx,[21-50]
Picardie,Boulogne,Boulogne-sur-Mer,1787-01-01,Angleterre,Angleterre,Etranger,"0001431N",Succes,"Bean, John",,,,,,,,,135,450,0,"2",tx,[1-20]
Aunis-Saintonge-Poitou,La Rochelle,Rochefort,1789-07-01,Madère,Portugal,Etranger,,Le Missenher Teena,"Paterson, Charles",Grande-Bretagne,Angleterre,Londres,,Eau-de-vie,,,,1 800,0,0,"106",tx,[101-200]
Normandie,Dieppe,Dieppe,1787-07-20,Brighton,Angleterre,Etranger,"0000459N",Princesse Royale,"Killick, Robert",,,,,,,,,390,117,0,"40",tx,[21-50]
Bretagne,Nantes,Nantes,1787-07-24,Uddevalla,Suède,Etranger,"0012843N",Clara,"Udeberg, Paul",Suède,,Uddevalla,,,,,,480,144,0,"162",tx,[101-200]
Normandie,Le Havre,Le Havre,1787-09-12,Alicante,Espagne,Etranger,"0008249N",Sainte Catherine,"Lelong, Pierre",France,,Rouen,Normandie,,,,,1 830,549,0,"142",tx,[101-200]
Flandre,Dunkerque,Dunkerque,1787-04-17,Angleterre (destination simulée pour),Angleterre,Etranger,"0001390N",Alerte,"Cunningham, Robert",Grande-Bretagne,Angleterre,Folkestone,,,,,,450,135,0,"12",tx,[1-20]
Picardie,Boulogne,Boulogne-sur-Mer,1787-03-15,Angleterre,Angleterre,Etranger,"0001973N",Fortune,Mongar,,,,,,,,,135,450,0,"2",tx,[1-20]
Normandie,Fécamp,Fécamp,1787-09-29,Londres,Angleterre,Etranger,"0000758N",Aimable Marie,"Dusel, François",France,,Fécamp,Normandie,,,,,390,117,0,"64",tx,[51-100]
Picardie,Boulogne,Boulogne-sur-Mer,1787-08-03,Angleterre,Angleterre,Etranger,"0001576N",Charley,Mongar,,,,,,,,,135,450,0,"2",tx,[1-20]
Guyenne,Bayonne,Bayonne,1787-06-12,Lisbonne,Portugal,Etranger,"0011298N",Saint Antoine et Ames,"Rodriguez, Antoine Joseph",Portugal,,Lisbonne,,Brai,Goudron,Goudron,Goudron,576,1 920,3 240,"90",tx,[51-100]
Guyenne,Bordeaux,Bordeaux,1787-07-17,Viana,Portugal,Etranger,"0008525N",Saint Antoine et Animas,"Lucias, Alonso",Espagne,,Mouros,,,,,,1 800,1 260,918,"21",tx,[21-50]
Guyenne,Bordeaux,Bordeaux,1787-05-18,Saint-Pétersbourg,Russie,Etranger,"0012931N",Britania,"Usher, Guillaume",Grande-Bretagne,Angleterre,Newcastle,,Diverses marchandises,Sucre,Sucre,Sucre,7 335,17 760,4 440,"296",tx,[201-500]
Provence,Saint-Tropez,Saint-Tropez,1787-07-11,Gênes,,Etranger,"0014528N",Jésus Marie Joseph,"Fabre, Joseph Alexis",France,,Saint-Tropez,Provence,Vin,,,,0,0,0,"62",tx,[51-100]
Normandie,Le Havre,Le Havre,1787-12-18,Portsmouth,Angleterre,Etranger,"0006916N",Gosport et Havre Packett,"Wilson, William",,,,,,,,,390,117,0,"84",tx,[51-100]
Aunis-Saintonge-Poitou,Marennes,Marennes,1789-05-28,Amsterdam,Hollande,Etranger,"0000671N",Coquille,"Le Vasseur, Charles",France,,Saint-Valery-sur-Somme,Picardie,Vin,,,,480,0,0,"75",tx,[51-100]
Guyenne,Bordeaux,Bordeaux,1787-07-18,Santander,Espagne,Etranger,"0000244N",Bonne Union,"Allard, Jean",France,,Bordeaux,Guyenne,Farine,,,,1 800,1 800,4 200,"70",tx,[51-100]
Normandie,Le Havre,Le Havre,1787-03-29,Hambourg,Quatre villes hanséatiques,Etranger,"0001904N",Deux Soeurs,"Deheulle, Pierre George",,,,,,,,,390,117,0,"195",tx,[101-200]
Guyenne,Bayonne,Bayonne,1787-03-07,Saint-Sébastien,Espagne,Etranger,"0006819N",Bonne Aventure,"Hirigoyen, Joseph",,,,,,,,,144,480,0,"15",tx,[1-20]
Bretagne,Lorient,Lorient,1787-02-27,Baltimore,Etats-Unis,Etranger,"0013635N",Unicorne,"Dean, Thomas",Etats-Unis d'Amérique,Maryland,Baltimore,,Lest,,,,2 484,0,0,"145",tx,[101-200]
Normandie,Cherbourg,Diélette,1787-06-24,Guernesey,Angleterre,Etranger,"0000336N",Entreprise,"Delarue, Nicolas",,,,,Diverses marchandises,,,,390,0,0,"2",tx,[1-20]
Picardie,Boulogne,Boulogne-sur-Mer,1787-06-11,Douvres,Angleterre,Etranger,"0000902N",Duc d' Orléans,"Cornu, Robert",France,,Boulogne-sur-Mer,Picardie,Passagers,,,,450,135,0,"30",tx,[21-50]
Aunis-Saintonge-Poitou,La Rochelle,Tonnay-Charente,1789-04-08,Ostende,Etats de l'Empereur,Etranger,,Hazard,"Lajasson, Jean",France,,Bordeaux,Guyenne,,,,,480,0,0,"160",tx,[101-200]
Normandie,Cherbourg,Omonville,1787-05-22,Aurigny ,Angleterre,Etranger,"0001377N",Saint Pierre,"Lagalle, Louis",,,,,Diverses marchandises,,,,390,117,0,"2",tx,[1-20]
Guyenne,Bayonne,Bayonne,1787-03-31,Bilbao,Espagne,Etranger,"0010644N",Notre Dame de Begogne,"Butron, Michel",Espagne,,Plencia,,Goudron,Savon,Savon,Savon,1 920,576,0,"50",tx,[21-50]
Bretagne,Lorient,Lorient,1787-12-01,Cork,Angleterre,Etranger,"0009554N",Sally,"Macarty, Charles",Grande-Bretagne,Irlande,Cork,,Vieux cordages,,,,630,0,0,"48",tx,[21-50]
Flandre,Dunkerque,Dunkerque,1787-02-03,Londres,Angleterre,Etranger,"0001441N",Prince d' Orange,"Meldick, John",Grande-Bretagne,Angleterre,Londres,,Eau-de-vie,Diverses marchandises,Diverses marchandises,Diverses marchandises,135,450,0,"60",tx,[51-100]
Flandre,Dunkerque,Dunkerque,1787-02-06,Angleterre (destination simulée pour),Angleterre,Etranger,"0009845N",Bonne Intention,"Gardner, Edward",Grande-Bretagne,Angleterre,Deal,,,,,,450,135,0,"12",tx,[1-20]
Picardie,Calais,Calais,1787-06-30,Douvres,Angleterre,Etranger,"0001068N",Henrietta,"Sayer, Thomas",Grande-Bretagne,Angleterre,Douvres,,,,,,1 800,135,540,"24",tx,[21-50]
Bretagne,Nantes,Nantes,1787-09-19,Hambourg,Quatre villes hanséatiques,Etranger,"0009239N",Dame Elisabeth,"Struk, Diederick David",Brême,,Brême,,,,,,480,144,0,"165",tx,[101-200]
Normandie,Cherbourg,Diélette,1787-04-23,Jersey,Angleterre,Etranger,"0000282N",Marie,"Hubert, Jean",,,,,Diverses marchandises,,,,390,0,0,"2",tx,[1-20]
Picardie,Boulogne,Boulogne-sur-Mer,1787-03-13,Angleterre,Angleterre,Etranger,"0001522N",Old Shoë,Gowlder,,,,,,,,,135,450,0,"2",tx,[1-20]
Picardie,Saint-Valéry-sur-Somme,Saint-Valery-sur-Somme,1787-01-16,Rotterdam,Hollande,Etranger,"0000414N",Marie Madelaine,"Devinck, Cornélis",,,,,,,,,135,1 656,450,"46",tx,[21-50]
Picardie,Boulogne,Boulogne-sur-Mer,1787-08-11,Angleterre,Angleterre,Etranger,"0000742N",Peggy,"Ball, William",Grande-Bretagne,Angleterre,Hasting,,,,,,450,135,0,"12",tx,[1-20]
Aunis-Saintonge-Poitou,Sables-d’Olonne,Les Sables-d'Olonne,1789-02-17,Grands Bancs de Terre-Neuve,,Etranger,,Enfants Nantois,"Ayveau, Jean",France,,Les Sables-d'Olonne,Poitou,Ustensiles de pêche,Sel,Sel,Sel,1 800,0,0,"116",tx,[101-200]
Flandre,Dunkerque,Dunkerque,1787-07-07,Angleterre (destination simulée pour),Angleterre,Etranger,"0002122N",Liberté,"Hammond, Richard",Grande-Bretagne,Angleterre,Douvres,,,,,,450,135,0,"12",tx,[1-20]
Normandie,Le Havre,Le Havre,1787-04-03,Gand,Etats de l'Empereur,Etranger,"0012201N",De Vrouss Elisabeth,"Sekunr, Barmen",,,,,,,,,117,390,0,"91",tx,[51-100]
Picardie,Boulogne,Boulogne-sur-Mer,1787-01-01,Angleterre,Angleterre,Etranger,"0000356N",Rover,"Fan, George",,,,,,,,,450,135,0,"2",tx,[1-20]
Guyenne,Bordeaux,Bordeaux,1787-07-25,Santander,Espagne,Etranger,"0007314N",Felicité,"Aubert, François",,,,,Farine,,,,1 800,2 322,5 940,"99",tx,[51-100]
Picardie,Boulogne,Boulogne-sur-Mer,1787-08-15,Angleterre,Angleterre,Etranger,"0000742N",Peggy,"Ball, William",Grande-Bretagne,Angleterre,Hasting,,,,,,135,450,0,"12",tx,[1-20]
Normandie,Cherbourg,Omonville,1787-03-20,Aurigny ,Angleterre,Etranger,"0000341N",Saint Michel,"Leboullanger, Michel François",,,,,Diverses marchandises,,,,117,390,0,"2",tx,[1-20]
Provence,Saint-Tropez,Saint-Tropez,1787-10-13,Gênes,,Etranger,"0014408N",Saint Antoine,"Blanc, Jean",,,,,Vin,,,,0,0,0,"5",tx,[1-20]
Normandie,Rouen,Rouen,1787-06-02,La Corogne,Espagne,Etranger,"0010639N",Indecis,"Maraine, Jacques Charles",France,,Fécamp,Normandie,,,,,390,117,0,"106",tx,[101-200]
Isles de Corse,Bastia,Bastia,1787-09-17,Gênes,,Etranger,"0014352N",Unnamed,"Tavalaro, Joseph",,,,,,,,,120,180,0,,tx,
Picardie,Calais,Calais,1787-08-05,Rochester,Angleterre,Etranger,"0002155N",Fernot,"Faire Head, Benjamin",Grande-Bretagne,Angleterre,Rochester,,,,,,300,135,90,"4",tx,[1-20]
Guyenne,Bayonne,Bayonne,1787-01-20,Bruges,Etats de l'Empereur,Etranger,"0012637N",Demoiselle Metta,"Bergman, Henry",Brême,,Brême,,Vin,,,,1 920,576,6 480,"180",tx,[101-200]
Picardie,Boulogne,Boulogne-sur-Mer,1787-11-04,Angleterre,Angleterre,Etranger,"0001987N",Good Intent,Lawrence,,,,,,,,,450,135,0,"2",tx,[1-20]
Aunis-Saintonge-Poitou,La Rochelle,Saint-Martin-de-Ré,1789-04-28,Bergue ,Danemark,Etranger,,Ebenetzer,"Tysland, Andres",Danemark,Norvège,Bergue ,,Sel,,,,480,0,0,"50",tx,[21-50]
Picardie,Boulogne,Boulogne-sur-Mer,1787-02-17,Angleterre,Angleterre,Etranger,"0001628N",Lively,Browmley,,,,,,,,,450,135,0,"2",tx,[1-20]
Aunis-Saintonge-Poitou,La Rochelle,Ars-en-Ré,1789-04-30,Stavanger,Danemark,Etranger,,Hendrika Maria,"Sonesne, Knude",Danemark,Norvège,Stavanger,,Sel,,,,480,0,0,"230",tx,[201-500]
Picardie,Boulogne,Boulogne-sur-Mer,1787-09-21,Angleterre,Angleterre,Etranger,"0000348N",Polly,Halow,Grande-Bretagne,Angleterre,Faversham,,,,,,450,135,0,"2",tx,[1-20]
Guyenne,Bordeaux,Bordeaux,1787-04-27,Cork,Angleterre,Etranger,"0013799N",Marie,"Scallan, Stephens",Grande-Bretagne,Irlande,Cork,,Lest,,,,600,2 520,630,"42",tx,[21-50]
